Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
1090,0.813718,0.814219,0.000502,3.710643,3.711144,0.000502
1100,0.813722,0.814219,0.000497,3.710647,3.711144,0.000497
1110,0.813727,0.814219,0.000493,3.710652,3.711144,0.000493
1120,0.813731,0.814219,0.000488,3.710656,3.711144,0.000488
1130,0.813736,0.814219,0.000484,3.710660,3.711144,0.000484
1140,0.813740,0.814219,0.000480,3.710665,3.711144,0.000480
1150,0.813744,0.814219,0.000476,3.710669,3.711144,0.000476
1160,0.813748,0.814219,0.000471,3.710673,3.711144,0.000471
1170,0.813752,0.814219,0.000467,3.710677,3.711144,0.000467
1180,0.813756,0.814219,0.000463,3.710681,3.711144,0.000463
1190,0.813760,0.814219,0.000460,3.710685,3.711144,0.000460
1200,0.813764,0.814219,0.000456,3.710689,3.711144,0.000456
1210,0.813768,0.814219,0.000452,3.710692,3.711144,0.000452
